movielens	5	0	33	128	1	0.003343661
movielens	5	1	32	256	1	0.00266666
movielens	5	2	33	128	1	0.005459079
movielens	5	3	43	256	4	0.000522411
movielens	5	4	27	128	1	0.000614074
movielens	5	5	9	256	1	0.000458938
yelp	5	0	29	128	1	0.001541682
yelp	5	1	22	16	1	0.00650778
yelp	5	2	23	16	2	0.003934887
yelp	5	3	26	256	1	0.001102347
yelp	5	4	37	32	1	0.008260584
yelp	5	5	43	128	2	0.001068533
amazon_music	5	0	42	256	2	0.001050391
amazon_music	5	1	39	128	1	0.001297736
amazon_music	5	2	24	128	1	0.000316968
amazon_music	5	3	48	64	1	0.000612838
amazon_music	5	4	43	128	2	0.001913384
amazon_music	5	5	23	256	1	0.000359285
amazon_electronic	5	0	35	64	1	0.00316159
amazon_electronic	5	1	30	128	3	0.000229286
amazon_electronic	5	2	13	256	3	0.000190987
amazon_electronic	5	3	33	128	1	0.001259869
amazon_electronic	5	4	20	8	1	0.003147555
amazon_electronic	5	5	35	8	1	0.00702616
movielens	7	0	40	256	3	0.000124173
movielens	7	1	37	128	1	0.000372052
movielens	7	2	20	64	1	0.001618205
movielens	7	3	50	16	2	0.005197547
yelp	7	0	12	256	1	0.001400248
yelp	7	1	14	128	1	0.003928869
yelp	7	2	37	256	1	0.001179841
yelp	7	3	38	256	1	0.000615174
amazon_music	7	0	38	128	2	0.00190799
amazon_music	7	1	45	64	2	0.000323149
amazon_music	7	2	18	128	1	0.00012315
amazon_music	7	3	27	128	2	0.000808033
amazon_electronic	7	0	46	256	1	0.000918
amazon_electronic	7	1	10	128	2	0.001247405
amazon_electronic	7	2	28	128	1	0.00274183
amazon_electronic	7	3	29	64	2	0.008665517
